,precision,recall,f1-score,support
-1.0,0.4076923076923077,0.08698030634573305,0.14337240757439135,1828.0
1.0,0.5563530037214248,0.9006024096385542,0.6878080841275057,2324.0
accuracy,0.5423892100192679,0.5423892100192679,0.5423892100192679,0.5423892100192679
macro avg,0.48202265570686625,0.49379135799214363,0.4155902458509485,4152.0
weighted avg,0.4909021963174686,0.5423892100192679,0.4481095251826374,4152.0
