,precision,recall,f1-score,support
-1.0,0.4418604651162791,0.021939953810623556,0.0418041804180418,1732.0
1.0,0.5607985480943739,0.9782903663500678,0.7129202373104813,2211.0
accuracy,0.5582044128835911,0.5582044128835911,0.5582044128835911,0.5582044128835911
macro avg,0.5013295066053265,0.5001151600803457,0.37736220886426153,3943.0
weighted avg,0.5085538715237271,0.5582044128835911,0.41812616920555984,3943.0
