,precision,recall,f1-score,support
-1.0,0.42857142857142855,0.03824833702882483,0.07022900763358778,1804.0
1.0,0.558636479267362,0.9597902097902098,0.7062228654124457,2288.0
accuracy,0.5535190615835777,0.5535190615835777,0.5535190615835777,0.5535190615835777
macro avg,0.49360395391939527,0.4990192734095173,0.38822593652301673,4092.0
weighted avg,0.5012959730465741,0.5535190615835777,0.4258384764991857,4092.0
