,precision,recall,f1-score,support
-1.0,0.42418772563176893,0.12855579868708972,0.19731318219983207,1828.0
1.0,0.557254030016676,0.862736660929432,0.6771361026680176,2324.0
accuracy,0.5394990366088632,0.5394990366088632,0.5394990366088632,0.5394990366088632
macro avg,0.49072087782422247,0.4956462298082609,0.43722464243392484,4152.0
weighted avg,0.4986689615158065,0.5394990366088632,0.46588458566034824,4152.0
